	SRR1795409merged_dedupRemoved	SRR1795411merged_dedupRemoved	SRR1795413merged_dedupRemoved	SRR1795415merged_dedupRemoved	SRR1795417merged_dedupRemoved	SRR1795419merged_dedupRemoved	SRR1795421merged_dedupRemoved	SRR1795423merged_dedupRemoved	SRR1795425merged_dedupRemoved	SRR1795427merged_dedupRemoved	SRR1795429merged_dedupRemoved	SRR1795431merged_dedupRemoved	SRR1795433merged_dedupRemoved	SRR1795435merged_dedupRemoved	SRR1795437merged_dedupRemoved	SRR1795439merged_dedupRemoved
ENSG00000115368	510	453	479	379	444	491	615	727	37	32	9	19	18	12	29	39
ENSG00000115380	8	10	14	3	7	14	16	30	4	7	5	7	0	1	5	4
ENSG00000115386	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000115392	200	193	186	141	145	193	288	315	20	25	11	14	13	12	23	21
ENSG00000115414	316	252	249	260	183	273	307	508	59	96	42	51	37	17	85	82
ENSG00000115415	470	469	465	382	398	434	634	786	53	44	19	31	22	19	43	50
ENSG00000115419	472	440	435	372	336	414	562	679	16	19	13	13	11	9	19	18
ENSG00000115421	276	235	229	190	222	272	301	410	8	11	6	5	8	2	9	5
ENSG00000115423	101	93	79	82	66	64	112	170	1	2	1	0	0	1	2	2
ENSG00000115425	72	68	61	51	35	59	72	103	5	4	4	5	1	2	7	6
ENSG00000115446	146	152	147	103	112	141	180	227	23	16	6	13	9	7	15	10
ENSG00000115457	206	200	180	150	156	190	230	294	32	35	17	24	12	10	26	24
ENSG00000115459	123	92	89	88	87	100	138	211	4	0	0	0	0	0	1	1
ENSG00000115461	108	76	85	93	47	95	107	185	6	11	4	2	4	1	4	6
ENSG00000115464	1939	1667	1724	1501	1393	1631	2190	2641	33	26	9	12	13	8	34	36
ENSG00000115468	19	17	18	19	11	19	18	40	10	11	2	7	6	4	3	5
ENSG00000115474	67	68	47	71	50	42	85	116	0	0	0	0	1	0	0	0
ENSG00000115484	919	834	895	730	865	910	1058	1131	231	192	119	112	116	94	188	213
ENSG00000115486	414	384	427	364	308	360	500	678	29	33	7	7	5	2	24	19
ENSG00000115488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000115504	321	265	257	234	208	245	343	470	12	7	7	3	9	4	8	7
ENSG00000115507	10	2	4	2	4	2	4	8	2	1	2	2	0	0	0	0
ENSG00000115514	78	69	71	57	66	69	84	87	5	5	1	4	1	2	2	7
ENSG00000115520	142	139	133	117	119	134	222	234	8	9	7	5	4	9	6	2
ENSG00000115523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000115524	2012	1843	2064	1670	1912	2044	2463	2636	264	217	133	124	134	105	248	220
ENSG00000115525	45	39	27	25	38	47	71	75	1	1	1	0	2	1	2	4
ENSG00000115526	226	212	230	167	205	223	314	407	7	8	4	1	5	3	5	3
ENSG00000115539	117	121	113	87	97	104	131	147	13	21	15	12	14	3	15	22
ENSG00000115540	152	143	148	125	139	170	203	239	0	0	0	0	0	0	0	0
ENSG00000115541	109	112	114	81	91	108	138	133	21	15	7	7	12	4	9	11
ENSG00000115548	517	428	457	429	361	436	602	778	23	26	19	8	17	9	19	21
ENSG00000115556	91	86	57	75	36	47	56	112	0	0	0	0	0	0	0	0
ENSG00000115561	103	106	117	80	83	116	147	196	0	0	0	0	0	0	0	0
ENSG00000115568	372	330	273	329	207	243	311	501	17	29	11	10	15	6	14	12
ENSG00000115590	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	1
ENSG00000115592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000115593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000115594	2	5	5	1	7	7	10	11	0	0	0	0	0	0	0	1
ENSG00000115596	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0
ENSG00000115598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000115602	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
