	tm_a_hek	tm_b_hek	untr_a_hek	untr_b_hek
OTUD1	38	44	45	48
OTUD3	182	211	299	267
OTUD4	894	1140	1446	1357
OTUD5	359	532	609	554
OTUD6B	369	509	566	582
OTUD7A	32	36	53	33
OTUD7B	380	527	608	568
OVCA2	274	339	312	266
OVGP1	61	70	92	101
OVOS2	75	57	86	79
OXA1L	862	1147	1235	982
OXCT1	535	767	769	672
OXLD1	109	110	136	128
OXNAD1	367	408	499	461
OXR1	503	602	672	563
OXSM	279	305	359	334
OXSR1	577	728	768	785
P2RX4	88	100	102	88
P2RY1	120	155	140	100
P4HA1	494	599	722	670
P4HA2	163	208	206	156
P4HB	2912	3833	3855	3518
PA2G4	5495	6728	7723	7382
PAAF1	126	171	183	165
PABPC1	5208	7135	11467	9779
PABPC1L	67	90	131	124
PABPC3	451	638	1200	975
PABPC4	1797	2346	3330	2895
PABPC4L	202	275	352	353
PACRGL	130	135	110	77
PACS1	91	115	226	228
PACS2	287	385	417	359
PACSIN2	473	629	673	724
PACSIN3	148	180	217	236
PAF1	976	1377	1156	1112
PAFAH1B1	1056	1349	1490	1427
PAFAH1B2	853	1041	1180	1093
PAFAH1B3	219	263	307	298
PAFAH2	46	65	85	73
PAG1	87	154	152	125
PAGR1	564	724	833	914
PAICS	4648	6321	6922	6866
PAIP1	1043	1381	1437	1264
PAIP2	435	593	565	501
PAIP2B	68	76	70	72
PAK1	289	373	422	460
PAK1IP1	1041	1243	1387	1145
PAK2	392	484	858	742
PAK4	149	170	284	285
PALB2	553	662	795	688
PALD1	315	392	428	401
PALLD	234	294	428	379
PALM	28	25	38	33
PALM2-AKAP2	219	269	290	272
PAM	670	869	906	768
PAN2	466	639	609	577
PAN3	429	583	732	619
PANK1	137	155	197	178
PANK2	528	647	817	755
PANK3	1114	1444	1707	1645
PANK4	310	403	406	331
PANX1	143	188	184	152
PAPD4	399	504	566	486
PAPD5	324	396	426	398
PAPD7	238	337	449	396
PAPOLA	2272	3176	3602	3192
PAPOLG	296	391	399	385
PAPSS1	602	773	822	755
PAPSS2	141	181	197	182
PAQR3	275	339	333	282
PAQR4	60	71	56	40
PAQR5	39	67	50	41
PAQR8	31	45	35	24
PARD3	750	882	986	911
PARD3B	133	162	205	183
PARD6B	123	183	230	188
PARG	1425	1814	2307	2165
PARK7	2016	2696	2669	2760
PARL	297	387	377	326
PARN	693	958	964	880
PARP1	16713	21721	22878	21672
PARP11	70	84	116	101
PARP16	66	92	81	64
PARP2	635	807	844	806
PARP3	76	111	84	83
PARP4	720	914	1041	898
PARP6	292	410	512	444
PARP8	211	259	268	243
PARP9	47	56	64	74
PARPBP	587	674	809	776
PARS2	123	129	150	114
PARVA	101	127	186	183
PARVB	293	353	391	337
PASK	484	593	655	579
PATL1	286	406	601	524
PATZ1	335	450	574	519
PAWR	486	520	751	755
PAX3	119	126	160	139
PAX6	126	207	191	168
PAXBP1	1705	2162	2452	2349
PAXIP1	585	743	894	787
PBDC1	235	271	366	369
PBK	358	522	481	497
PBLD	38	40	73	54
PBRM1	2721	3663	4168	3830
PBX1	147	204	235	198
