	tm_a_hek	tm_b_hek	untr_a_hek	untr_b_hek	ribo_tm_a	ribo_tm_b	ribo_untr_a	ribo_untr_b
ARHGEF6	156	189	178	180	43	40	173	185
ARHGEF7	251	308	394	392	209	140	314	448
ARHGEF9	140	189	222	193	7	3	12	15
ARID1A	433	595	1259	966	720	519	1155	1911
ARID1B	626	926	1255	1044	212	174	423	556
ARID2	1010	1390	1511	1320	473	318	766	1135
ARID3A	43	53	81	62	26	35	84	141
ARID3B	161	225	306	251	91	48	185	292
ARID4A	291	387	492	470	110	72	155	193
ARID4B	1609	2062	2279	2140	297	247	487	694
ARID5A	44	53	51	61	36	13	53	74
ARID5B	149	191	238	176	275	185	405	565
ARIH1	767	1014	1394	1325	359	244	634	915
ARIH2	1757	2080	2197	2044	226	166	483	585
ARL1	505	708	585	558	440	325	848	1032
ARL10	41	62	131	135	13	11	26	37
ARL13B	302	442	464	414	78	58	173	205
ARL14EP	311	377	419	381	175	119	257	355
ARL15	71	94	116	91	82	53	139	139
ARL16	169	237	233	196	150	104	164	297
ARL17A	530	737	991	910	483	468	851	1309
ARL2	373	521	421	406	349	233	816	1016
ARL2BP	302	368	311	266	202	167	399	530
ARL3	152	224	204	184	267	220	570	772
ARL4A	165	179	264	206	38	38	71	97
ARL4C	35	56	63	66	24	24	65	103
ARL4D	21	32	56	45	33	22	58	70
ARL5A	407	506	607	532	33	19	56	83
ARL5B	238	337	365	332	189	147	363	481
ARL6	124	160	147	161	46	34	99	148
ARL6IP1	1195	1349	1377	1311	793	564	1266	1953
ARL6IP4	893	1034	1218	1244	339	320	609	1040
ARL6IP5	446	618	623	622	217	164	480	560
ARL6IP6	181	258	244	183	94	60	188	239
ARL8A	104	154	170	181	125	85	246	349
ARL8B	272	288	342	289	224	187	478	685
ARMC1	475	578	572	579	211	137	402	497
ARMC10	349	426	530	434	106	87	186	271
ARMC2	37	45	39	39	20	9	40	45
ARMC4	158	188	254	219	102	60	173	216
ARMC5	109	126	138	146	95	59	87	178
ARMC6	708	754	906	714	366	192	543	815
ARMC8	567	780	709	693	150	127	280	342
ARMC9	243	291	357	326	162	110	314	453
ARMCX2	19	42	36	24	165	122	336	383
ARMCX3	219	307	325	318	144	93	188	298
ARMCX4	28	44	116	82	24	15	12	33
ARMCX5	428	485	532	480	79	54	135	139
ARMCX5-GPRASP2	861	1101	1320	1182	125	100	193	292
ARMCX6	80	90	104	124	25	17	38	78
ARNT	514	578	666	620	209	167	388	542
ARNT2	161	217	288	258	20	14	60	92
ARNTL	61	69	91	74	16	20	43	58
ARNTL2	520	587	709	603	16	13	60	79
ARPC1A	1235	1610	1581	1377	573	402	1297	1999
ARPC1B	278	409	336	289	247	204	547	842
ARPC2	1400	1718	1669	1420	1202	953	2773	3738
ARPC3	1240	1669	1537	1455	1785	1446	3840	4770
ARPC5	361	508	448	494	226	187	462	731
ARPC5L	126	177	189	229	178	116	350	505
ARPP19	294	336	396	379	224	239	549	644
ARRB1	69	86	105	87	28	33	97	88
ARRB2	246	376	344	276	251	167	489	707
ARRDC1	184	181	155	122	133	69	242	335
ARRDC3	80	89	105	85	25	21	56	69
ARRDC4	108	146	171	170	99	52	181	251
ARSA	60	59	77	60	49	30	110	141
ARSB	148	195	202	161	57	21	82	121
ARSG	47	51	74	47	8	11	29	30
ARSK	96	135	143	132	82	53	140	174
ARV1	434	508	528	513	232	153	391	572
ARVCF	94	114	139	130	27	16	51	74
AS3MT	150	194	203	228	53	58	149	168
ASAH1	272	404	420	426	242	171	521	683
ASAH2	72	78	54	57	49	33	51	90
ASAH2B	66	71	48	54	26	23	35	68
ASAP1	293	376	617	500	154	117	348	445
ASAP2	191	240	329	282	95	63	194	290
ASAP3	125	139	177	155	42	23	85	122
ASB1	132	133	174	195	49	29	81	145
ASB13	125	157	174	157	42	29	81	147
ASB3	536	686	761	680	237	170	400	551
ASB6	306	374	373	324	334	227	540	821
ASB7	165	205	215	206	32	19	58	95
ASB8	104	142	182	175	163	135	286	377
ASCC1	209	260	335	310	288	187	550	695
ASCC2	578	721	795	691	260	167	595	905
ASCC3	3906	4734	5192	4699	979	628	1592	2181
ASF1A	397	528	469	483	261	218	548	761
ASF1B	338	437	401	336	371	285	648	1069
ASH1L	2227	3008	4324	3852	470	327	701	958
ASH2L	328	347	456	437	314	246	563	736
ASIC1	40	61	126	103	42	30	113	137
ASL	164	195	229	175	59	37	118	155
ASMT	50	56	132	134	0	0	0	0
ASMTL	262	348	400	400	134	104	302	358
ASNA1	609	756	688	653	474	318	878	1186
ASNS	2067	2441	2594	2358	1047	774	2153	2409
ASNSD1	1793	2129	2378	2255	154	117	326	408
ASPH	996	1233	1374	1251	233	152	542	725
ASPHD2	29	37	45	45	7	8	36	46
ASPM	7603	11171	11761	10685	1061	847	1624	1983
ASPSCR1	176	204	244	223	93	54	142	282
ASRGL1	217	246	300	289	117	95	238	363
ASS1	376	483	493	416	332	232	782	868
ASTE1	213	248	260	183	84	55	133	196
ASTN2	34	34	40	41	2	3	14	15
ASUN	1515	1791	1786	1836	293	225	784	890
ASXL1	1193	1582	2053	1756	308	186	413	656
ASXL2	492	634	938	783	148	119	197	282
ASXL3	40	50	66	65	35	26	56	45
ATAD1	534	662	751	689	529	306	897	1296
ATAD2	2331	2908	3138	3088	1158	827	1846	2264
ATAD2B	748	945	1126	935	82	64	196	252
ATAD3A	1333	1734	1831	1722	805	583	1715	2610
ATAD3B	1309	1653	1756	1706	737	480	1488	2316
ATAD3C	398	457	545	540	282	210	582	879
ATAD5	1146	1640	2136	2077	271	203	477	511
ATAT1	50	47	53	51	61	54	116	159
ATE1	407	571	631	613	171	123	329	434
ATF1	299	329	296	288	143	106	258	425
ATF2	553	669	687	656	77	65	190	241
ATF3	46	48	36	46	32	21	47	76
ATF4	7501	8915	8940	8940	1958	1419	653	689
ATF5	22	36	44	32	45	33	12	15
ATF6	954	1147	1157	1065	472	329	910	1133
ATF6B	253	291	300	251	306	226	604	891
ATF7	54	43	96	68	128	79	217	311
ATF7IP	611	802	1137	1063	1038	688	1514	2028
ATF7IP2	67	68	90	79	9	6	16	30
ATG10	28	59	60	45	12	12	29	41
ATG12	135	156	141	103	99	84	204	289
ATG13	356	454	461	415	145	115	254	365
ATG14	199	248	236	259	30	27	54	73
ATG16L1	489	651	696	591	162	124	310	443
ATG16L2	51	66	66	65	6	4	9	15
ATG2A	328	466	637	588	155	118	252	412
ATG2B	963	1327	1539	1335	394	314	756	951
ATG3	999	1262	1179	1101	224	173	493	591
ATG4A	220	365	328	261	93	67	115	165
ATG4B	444	583	577	522	471	344	649	981
ATG4C	526	734	665	681	115	62	240	272
ATG4D	270	266	291	251	58	28	115	192
ATG5	434	566	600	544	155	108	350	384
ATG7	642	764	895	810	208	146	386	500
ATG9A	486	572	654	534	443	282	887	1189
ATHL1	70	95	128	99	8	7	18	18
ATIC	675	1030	1679	1515	2277	1637	4449	6155
ATL1	37	63	62	55	62	44	109	125
ATL2	1034	1384	1563	1600	390	323	657	955
ATL3	287	349	376	300	54	24	73	101
ATM	2615	3345	4094	3748	370	257	668	764
ATMIN	907	1127	1163	978	44	36	80	84
ATN1	80	80	288	221	212	161	542	780
ATOX1	96	127	76	86	247	178	470	559
ATP10D	162	193	198	188	42	18	51	66
ATP11A	176	225	372	345	93	61	150	246
ATP11B	709	910	924	915	155	114	382	485
ATP11C	1372	1720	1881	1775	382	245	749	991
ATP13A1	460	649	817	723	360	209	532	1061
ATP13A2	411	575	675	580	185	138	376	510
ATP13A3	1562	2042	2199	2085	295	190	766	1082
ATP1A1	6272	9457	9572	9000	3954	2552	9068	13482
ATP1A3	49	67	114	73	145	99	354	549
ATP1B1	207	311	342	344	330	215	641	796
ATP1B3	750	938	1001	951	763	510	1540	2176
ATP2A2	2373	3048	5163	4724	2686	1675	5060	7541
ATP2B1	1529	1895	2038	2004	627	420	1157	1774
ATP2B4	410	575	813	745	48	35	83	150
ATP2C1	1039	1288	1604	1576	319	196	703	1021
ATP5A1	8951	10737	11041	10064	4396	3002	8418	12428
ATP5B	11996	14312	13859	12413	9170	6163	16803	23474
ATP5C1	2073	2685	2630	2348	2421	1836	4921	6511
ATP5D	138	193	218	162	300	195	612	1025
ATP5E	584	831	735	562	951	778	1756	2279
ATP5F1	3730	4598	4725	4209	1956	1438	3837	5441
ATP5G1	882	1115	1056	817	797	547	1196	1733
ATP5G2	898	1118	1158	911	1961	1369	3589	5737
ATP5G3	2324	2734	2631	2270	1734	1092	3267	4374
ATP5H	1338	1675	1781	1728	626	463	1165	1888
ATP5I	1099	1393	1584	1694	488	368	1040	1370
ATP5J	686	961	796	614	927	913	1936	2700
ATP5J2-PTCD1	383	550	656	634	534	392	701	1107
ATP5L	1118	1483	1563	1615	952	664	1854	2950
ATP5L2	33	47	47	29	235	177	595	784
ATP5S	91	108	158	133	93	84	185	254
ATP5SL	166	237	239	223	181	111	262	447
ATP6AP1	888	1154	1065	948	949	564	1913	2674
ATP6AP2	869	1084	910	742	825	547	1704	2251
ATP6V0A1	626	859	1169	1020	362	284	657	1022
ATP6V0A2	673	784	927	845	290	182	492	690
ATP6V0B	675	783	619	405	766	499	1341	2125
ATP6V0C	96	118	171	152	762	494	1577	2162
ATP6V0D1	630	750	688	591	460	339	961	1398
ATP6V0E1	169	197	180	132	172	103	240	400
ATP6V0E2	152	182	217	198	156	75	186	294
ATP6V1A	2677	3321	3299	3059	954	675	1590	2506
ATP6V1B2	552	691	773	757	552	398	1061	1464
ATP6V1C1	760	944	1054	926	282	192	603	806
ATP6V1D	594	702	803	791	360	224	642	913
ATP6V1E1	998	1156	1198	1117	794	543	1671	2228
ATP6V1F	383	544	495	435	401	287	969	1201
ATP6V1G1	606	747	879	854	409	293	879	1197
ATP6V1H	712	944	975	908	436	325	818	1061
ATP7A	334	406	497	485	210	148	312	369
ATP7B	394	540	670	578	162	127	268	502
ATP8A1	318	421	457	385	67	40	153	186
ATP8B2	1270	1708	1713	1515	48	15	94	132
ATP9A	375	464	520	478	129	101	312	423
ATP9B	212	244	292	297	79	50	141	172
ATPAF1	578	764	881	906	446	314	1057	1388
ATPAF2	252	302	336	257	47	22	97	124
ATPIF1	727	965	1081	1097	790	593	1431	2090
ATR	2398	3147	3198	2887	457	353	754	910
ATRAID	686	742	714	620	201	115	306	451
ATRIP	501	611	662	588	88	78	168	277
ATRN	549	702	999	855	297	164	491	710
ATRNL1	300	373	393	380	28	19	58	85
ATRX	2413	3343	4286	4096	425	324	748	1053
ATXN1	92	133	127	107	48	31	56	85
ATXN10	1509	1988	2692	2286	1267	862	2469	3473
ATXN1L	182	228	219	223	30	13	43	80
ATXN2	356	461	771	575	718	557	1453	1943
ATXN2L	400	525	1190	842	905	657	1658	2701
ATXN3	206	226	270	257	150	112	303	386
ATXN7	256	303	381	366	37	28	77	118
ATXN7L1	57	77	95	78	47	32	58	77
ATXN7L2	143	149	156	137	35	27	40	75
ATXN7L3	237	328	374	326	43	18	61	82
ATXN7L3B	166	253	262	195	140	103	247	402
AUH	147	207	234	225	64	56	125	175
AUNIP	418	518	467	379	131	86	333	363
AUP1	1260	1485	1381	1107	211	133	429	582
AURKA	1277	1632	1498	1305	944	725	1630	2163
AURKAIP1	679	876	1017	1086	877	652	1524	2536
AURKB	939	1193	1148	1170	607	375	955	1435
AUTS2	101	123	236	221	116	56	224	295
AVEN	141	188	223	225	27	18	84	124
AVL9	377	488	556	524	93	65	167	255
AX746670	19	34	36	41	0	0	0	0
AX746699	37	49	76	45	1	0	0	0
AX746750	28	38	58	66	0	0	0	0
AX747493	54	67	70	42	14	10	19	19
AX747756	18	16	39	39	3	1	0	1
AX748249	89	154	366	286	7	3	3	9
AXIN1	430	475	630	637	82	49	191	321
AXIN2	72	79	106	106	42	30	62	101
AZI1	250	312	430	392	102	59	151	200
AZI2	558	700	745	690	63	44	86	91
AZIN1	1422	1756	1754	1611	417	301	496	586
B2M	716	899	932	950	1512	1055	2807	3768
B3GALNT2	637	865	892	860	53	28	116	160
B3GALT1	28	35	27	21	6	1	6	8
B3GALT6	44	73	90	87	85	49	171	285
B3GALTL	239	310	354	277	90	59	195	188
B3GAT3	246	320	352	313	124	78	186	325
B3GNT1	520	508	611	561	369	221	660	1102
B3GNT2	158	208	182	145	43	34	79	92
B3GNT5	95	119	96	101	46	34	102	120
B4GALNT1	24	27	39	40	5	3	13	20
B4GALNT3	253	282	317	238	56	34	139	205
B4GALNT4	100	116	153	151	2	4	14	30
B4GALT1	59	62	99	96	107	83	210	306
B4GALT2	405	466	452	384	35	18	74	94
B4GALT3	497	652	582	513	94	43	107	160
B4GALT4	177	198	233	211	46	30	123	137
B4GALT5	230	325	361	300	145	111	277	466
B4GALT6	53	78	92	79	20	15	49	77
B4GALT7	158	195	197	153	25	26	77	129
B9D1	479	591	590	538	170	100	321	391
BABAM1	708	896	978	861	269	165	434	626
BACE1	103	131	150	132	33	16	70	108
BACE2	135	191	183	192	106	71	210	262
BACH1	928	1090	1327	1207	172	134	298	397
BACH2	30	51	62	42	27	32	74	79
BAD	117	127	140	120	91	75	167	249
BAG1	485	604	704	759	84	49	127	215
BAG2	262	265	357	401	372	276	599	1061
BAG3	122	157	207	171	437	325	749	1129
BAG4	416	575	518	459	239	158	412	571
BAG5	466	639	704	748	207	161	409	597
BAG6	1244	1708	2421	1956	2231	1477	3681	5859
BAHCC1	144	178	418	271	63	52	109	133
BAHD1	116	143	200	185	254	166	449	691
BAI2	138	164	211	183	17	10	39	34
BAI3	182	252	284	278	8	7	9	11
BAIAP2	130	182	189	138	98	63	150	253
BAIAP2L1	339	464	474	445	227	179	526	691
BAK1	140	204	208	193	153	117	271	408
BAMBI	104	141	111	93	146	86	226	274
BANF1	276	352	260	321	318	246	675	1231
BANP	191	215	222	233	72	57	170	243
BAP1	1193	1499	1678	1569	128	73	254	370
BARD1	737	935	907	852	250	183	378	576
BATF3	17	20	33	34	12	10	19	41
BAX	238	304	278	303	199	144	345	584
BAZ1A	3260	4191	4615	4328	807	609	1490	1875
BAZ1B	3533	4468	5731	5409	1015	694	1785	2636
BAZ2A	687	924	1670	1238	613	373	1248	1674
BAZ2B	523	631	755	650	103	80	155	180
BBIP1	77	88	69	93	55	48	69	96
BBS1	141	159	234	186	58	42	106	156
BBS10	289	328	334	263	191	175	337	413
BBS12	82	107	136	100	26	21	47	58
BBS2	422	483	619	583	204	152	370	544
BBS4	335	429	409	330	111	86	220	296
BBS7	665	911	854	819	249	166	475	629
BBS9	247	311	368	340	34	26	84	91
BBX	1279	1557	1700	1543	308	231	574	837
BC017347	18	33	57	67	21	18	19	36
BC024682	90	96	137	130	0	1	0	1
BC032716	59	83	118	92	42	35	83	99
BC041025	38	56	140	80	0	0	0	0
BC043620	33	27	47	42	13	9	28	43
BC071797	28	34	55	56	1	0	2	1
BC107108	111	162	176	192	50	37	109	131
BCAM	20	20	48	33	42	20	95	152
BCAP29	412	482	497	521	207	125	384	580
BCAP31	1961	2391	2539	2582	1249	745	2307	3814
BCAR1	257	299	389	306	170	93	270	446
BCAR3	53	77	95	67	25	21	43	60
BCAS2	938	1342	1319	1321	649	457	1267	1635
BCAS3	472	543	614	513	227	164	333	468
BCAS4	26	34	29	28	60	41	94	117
BCAT1	531	727	768	724	516	380	1123	1317
BCAT2	304	384	449	408	258	174	479	693
BCCIP	1249	1565	1714	1729	853	632	1705	2393
BCDIN3D	67	80	72	58	45	47	108	146
BCHE	66	77	70	77	72	52	155	170
BCKDHA	244	325	292	293	225	142	391	575
BCKDHB	242	328	381	299	146	94	321	429
BCKDK	297	383	402	312	233	137	582	732
BCL10	153	159	173	188	165	147	258	398
BCL11A	65	87	124	118	70	75	170	269
BCL2L1	67	65	108	105	25	17	44	71
BCL2L11	38	59	64	55	57	34	34	54
BCL2L12	244	286	282	292	192	113	287	466
BCL2L13	552	784	864	752	126	88	263	362
BCL2L2-PABPN1	1102	1469	1527	1314	506	382	879	1411
BCL6	23	25	33	27	49	22	46	88
BCL6B	83	114	114	90	1	0	2	1
BCL7A	118	146	139	153	112	72	222	382
BCL7B	118	164	146	118	74	56	134	155
BCL7C	333	449	485	493	69	56	153	225
BCL9	148	182	320	253	91	61	151	177
BCLAF1	8816	10959	10048	9203	2341	2003	3602	5139
BCOR	2163	2958	4711	3857	1246	815	2208	2994
BCORL1	101	142	335	230	283	178	405	665
BCR	1167	1325	1744	1655	142	86	374	517
BCS1L	778	888	980	894	341	215	536	759
BDH1	50	74	92	70	0	0	0	0
BDH2	312	374	313	318	172	110	325	366
BDP1	3098	4139	4963	4875	261	227	398	544
BECN1	761	1012	1047	1006	95	60	252	329
BEND3	156	175	262	230	93	61	116	194
BEND4	84	113	135	119	63	46	97	141
BEND7	80	94	159	124	34	9	66	81
BET1	124	177	191	205	163	107	241	294
BET1L	27	49	52	75	21	26	69	71
BEX1	97	118	172	171	384	257	620	1021
BEX2	577	689	734	693	294	208	497	850
BEX4	286	390	302	347	141	91	247	465
BEX5	26	19	37	38	5	2	7	5
BFAR	470	521	534	474	158	104	290	470
BFSP1	98	119	101	96	24	15	41	50
BHLHB9	214	298	342	303	38	35	76	86
BHLHE40	37	64	47	51	133	94	197	258
BICC1	182	243	197	177	91	69	190	208
BICD1	61	77	160	129	39	36	127	164
BICD2	601	809	934	882	162	129	383	541
BID	229	261	303	273	310	244	559	791
BIN1	98	150	150	142	6	13	23	32
BIN3	74	103	83	104	60	58	96	152
BIRC2	447	592	660	625	88	64	194	249
BIRC5	517	681	880	959	325	312	661	916
BIRC6	7893	9898	11059	9682	1482	1045	2093	2806
BIVM-ERCC5	824	1087	1152	1134	184	143	304	417
BLCAP	35	36	54	32	61	42	134	210
BLM	2216	2865	3204	2858	255	188	444	592
BLMH	561	709	823	834	481	396	1059	1592
BLOC1S1	251	361	371	336	254	177	413	616
BLOC1S2	186	248	285	249	184	109	313	405
BLOC1S4	59	64	105	85	94	55	160	223
BLOC1S6	167	168	214	204	67	51	132	158
BLVRA	302	431	472	469	479	302	971	1243
BLVRB	149	157	159	153	281	208	588	767
BLZF1	384	467	508	502	247	193	390	534
BMP1	64	113	107	77	35	24	96	111
BMP2K	379	557	482	397	96	59	187	282
BMP4	27	35	43	47	28	13	39	46
BMP6	33	43	60	51	20	11	63	80
BMP7	265	332	344	265	111	81	267	383
BMP8B	22	27	36	38	25	12	47	68
BMPR1A	386	505	490	435	133	77	275	404
BMPR1B	56	81	103	86	27	23	80	75
BMPR2	377	524	622	556	165	128	332	405
BMS1	3468	4609	5243	5216	1262	904	2013	2921
BNC2	55	57	67	61	42	17	51	85
BNIP1	158	173	193	166	105	82	218	275
BNIP2	568	703	837	773	297	238	493	774
BNIP3	343	468	467	511	103	96	258	403
BNIP3L	165	146	167	188	203	147	436	623
BOC	54	81	96	92	18	9	21	34
BOD1	396	514	507	444	55	48	175	250
BOD1L1	1863	2614	3097	2948	508	371	806	1110
BOLA1	70	66	87	84	9	13	50	55
BOLA2	1286	1566	2082	1938	1536	1036	2164	3522
BOLA3	237	284	319	310	166	140	249	426
BOP1	3141	3490	3697	3550	1156	825	2159	3414
BORA	307	421	407	331	86	68	196	239
BPGM	152	198	235	196	68	58	106	156
BPHL	155	217	245	228	110	64	190	275
BPNT1	562	663	730	731	290	250	592	737
BPTF	2975	4145	6204	5585	844	654	1401	1799
BRAF	219	325	344	313	143	85	256	445
BRAP	360	453	509	493	256	166	426	601
BRAT1	500	606	730	646	289	190	487	725
BRCA1	2056	2606	3180	2758	411	306	765	904
BRCA2	2276	3271	3840	3504	434	379	780	962
BRCC3	384	542	528	571	234	149	486	621
BRD1	453	574	805	717	209	150	351	605
BRD2	4286	5814	5560	4825	2101	1478	3591	5002
BRD3	189	252	329	293	220	168	485	780
BRD4	279	324	849	649	551	322	1084	1514
BRD7	1892	2423	2426	2366	139	131	403	546
BRD8	1205	1596	1700	1632	440	331	686	1071
BRD9	461	587	782	704	145	113	236	307
BRE	285	391	411	410	134	113	285	367
BRF1	238	310	356	341	121	106	249	380
BRF2	122	142	175	138	176	119	186	336
BRI3	47	63	92	58	94	88	205	348
BRI3BP	126	160	167	149	154	105	365	603
BRIP1	1330	1596	1933	1664	388	274	726	926
BRIX1	1641	1869	2145	2193	1038	845	1927	2675
BRK1	196	314	275	231	238	169	516	697
BRMS1	605	644	628	587	67	51	161	266
BRMS1L	283	415	405	345	132	108	246	345
BROX	624	822	852	765	217	153	495	576
BRPF1	785	1084	1179	1008	116	85	253	388
BRPF3	313	443	761	622	87	69	180	309
BRSK1	40	68	72	52	6	4	13	30
BRSK2	126	156	194	182	46	19	99	159
BRWD1	1877	2312	2687	2463	218	149	356	498
BRWD3	931	1213	1661	1583	169	122	350	439
BSCL2	241	305	316	268	117	71	162	216
BSDC1	630	759	876	857	186	143	324	382
BSG	1568	1975	1998	1634	1943	1262	3976	6444
BSN	108	167	309	230	32	4	37	59
BTAF1	2764	3431	3489	3100	569	422	1028	1389
BTBD1	1308	1550	1445	1280	221	169	605	717
BTBD10	330	358	400	428	82	64	195	226
BTBD11	63	86	94	93	31	21	54	89
BTBD2	365	512	644	538	113	58	323	420
BTBD3	532	627	833	726	213	128	366	579
BTBD6	453	522	515	444	44	44	121	158
BTBD7	530	724	833	785	120	74	164	234
BTBD8	17	35	38	42	13	12	39	38
BTBD9	123	138	198	182	101	79	205	272
BTD	144	190	208	178	56	37	88	126
BTF3	4750	6294	5837	5599	3400	2648	7216	9621
BTF3L4	507	610	696	649	741	513	1352	1911
BTG1	116	189	159	120	184	173	353	501
BTG3	244	334	375	388	231	203	529	768
BTN2A1	265	350	390	374	131	75	179	273
BTN2A2	163	186	203	196	89	54	124	170
BTN3A1	59	78	98	99	44	17	61	61
BTN3A2	49	71	81	75	39	20	75	75
BTN3A3	37	71	81	88	42	18	75	75
BTRC	364	482	497	420	185	104	344	408
BUB1	2968	3726	3974	3506	1063	799	1808	2272
BUB1B	1611	2099	2234	2021	1036	769	1660	2205
BUB3	2612	3288	3396	3210	1713	1222	3134	4410
BUD13	373	407	416	361	97	65	154	222
BUD31	420	474	562	513	276	225	492	718
BVES	43	46	58	62	59	32	114	172
BYSL	529	657	687	634	584	400	1056	1414
BZW1	3925	4799	5348	5228	1265	983	2769	3652
BZW2	1369	1627	1776	1732	357	243	792	1176
C10orf118	383	452	525	531	106	91	288	332
C10orf12	757	1003	1297	1226	230	173	436	560
C10orf137	1259	1637	1741	1574	356	285	737	1124
C10orf2	466	668	762	590	237	175	326	450
C10orf32	37	56	36	35	109	64	177	229
C10orf76	305	410	499	438	243	198	453	581
C10orf88	175	226	240	203	105	79	198	296
C11orf1	62	86	95	74	41	20	56	79
C11orf24	175	244	201	169	31	22	70	126
C11orf30	260	346	409	313	144	75	177	244
C11orf31	338	344	463	435	47	35	78	149
C11orf48	247	338	348	378	89	65	133	178
C11orf49	103	149	139	121	141	100	268	312
C11orf54	88	144	138	107	83	69	104	157
C11orf57	536	567	664	588	94	80	166	184
C11orf58	1649	2011	2217	2405	925	608	1706	2373
C11orf63	22	47	46	36	12	16	36	49
C11orf68	54	63	81	54	59	23	70	109
C11orf73	371	489	507	407	120	96	315	355
C11orf74	246	272	271	304	64	50	136	165
C11orf80	63	86	90	86	17	19	29	36
C11orf82	461	615	564	521	94	68	156	160
C11orf83	79	87	126	102	58	30	53	167
C11orf84	287	364	334	350	63	57	177	310
C11orf95	90	125	162	149	14	14	21	51
C12orf10	385	472	490	387	273	206	535	795
C12orf23	195	248	249	268	119	79	205	319
C12orf29	486	599	592	513	359	246	643	803
C12orf4	458	593	642	572	249	200	527	696
C12orf43	82	113	161	151	99	72	136	226
C12orf44	213	255	274	306	88	69	205	294
C12orf45	230	336	338	305	158	95	357	425
C12orf49	123	139	158	169	33	15	57	82
C12orf5	240	303	324	366	222	206	424	601
C12orf52	219	290	264	241	31	24	57	66
C12orf57	255	312	263	266	315	228	667	1016
C12orf60	32	53	48	35	14	9	26	35
C12orf65	112	91	124	130	46	41	97	136
C12orf66	102	127	122	141	48	55	62	123
C12orf73	27	45	37	36	44	34	67	86
C12orf75	41	60	74	72	55	52	101	142
C14orf1	105	137	157	107	143	74	205	327
C14orf119	278	375	273	179	164	118	238	396
C14orf142	57	64	98	98	45	27	72	124
C14orf159	84	89	104	121	64	54	115	163
C14orf166	1805	2347	2244	2144	808	645	2030	2345
C14orf2	383	569	582	588	630	546	931	1490
C14orf28	24	33	36	29	1	0	1	1
C14orf37	90	83	115	71	49	24	96	118
C14orf79	44	57	54	41	26	13	28	45
C14orf80	166	188	266	267	79	60	132	222
C14orf93	62	85	78	80	14	8	17	37
C15orf27	24	40	39	37	1	3	12	5
C15orf38-AP3S2	420	532	588	608	142	106	299	464
C15orf39	206	313	524	389	318	195	436	685
C15orf40	89	113	147	121	59	45	95	129
C15orf41	44	79	66	77	67	48	146	217
C15orf57	55	74	61	63	73	62	141	193
C15orf59	51	65	49	57	1	1	1	5
C15orf61	48	99	80	61	82	66	156	213
C16orf13	239	331	396	379	207	150	396	535
C16orf55	37	48	46	48	9	12	21	34
C16orf58	184	185	243	224	73	75	145	212
C16orf59	239	271	332	245	95	61	185	218
C16orf62	427	528	578	484	179	177	347	459
C16orf70	190	239	249	217	84	59	166	227
C16orf72	285	354	406	418	125	76	263	359
C16orf80	323	420	390	329	304	240	595	683
C16orf87	97	161	134	142	95	64	252	270
C16orf91	120	138	163	179	32	25	31	91
C16orf93	80	97	84	87	17	18	47	79
C16orf95	19	34	30	31	7	6	13	19
C17orf104	25	22	42	27	6	6	21	13
C17orf51	126	187	185	165	83	78	169	278
C17orf53	104	167	194	133	92	61	166	209
C17orf58	49	44	53	32	36	24	45	67
C17orf59	42	61	87	71	20	16	55	68
C17orf62	87	102	120	92	57	25	74	122
C17orf70	372	471	529	468	50	28	95	142
C17orf75	279	372	418	379	88	69	204	245
C17orf80	496	615	605	516	132	94	300	382
C17orf85	672	885	1031	1045	342	234	675	983
C17orf89	15	28	63	49	97	67	152	258
C18orf21	218	257	268	242	136	86	230	311
C18orf25	284	348	366	387	154	126	264	374
C18orf32	44	68	50	44	85	62	163	209
C18orf54	60	92	123	113	23	14	25	28
C18orf8	326	385	386	355	206	145	312	411
C19orf10	333	451	493	494	221	144	443	736
C19orf12	25	40	33	42	95	73	121	206
C19orf24	145	198	190	203	114	77	142	259
C19orf25	54	52	60	55	30	20	45	97
C19orf40	30	34	54	46	65	61	97	139
C19orf43	449	612	673	767	335	265	671	983
C19orf44	105	134	181	132	47	36	97	115
C19orf47	130	177	195	129	184	146	334	432
C19orf48	553	636	682	535	48	36	16	20
C19orf52	81	103	119	111	145	89	259	418
C19orf53	273	376	450	430	348	234	660	1030
C19orf54	7	22	47	37	167	110	314	445
C19orf55	33	27	84	47	139	111	234	366
