	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
TK2	37	56	24	23	86	86	81	61
TKFC	255	322	118	174	321	266	304	263
TKT	8871	10883	4267	5782	5985	5134	6526	4957
TLCD1	106	117	44	66	139	124	135	103
TLE1	525	656	237	334	639	590	678	559
TLE2	30	23	17	19	26	17	17	37
TLE3	1348	1798	729	961	1037	733	879	882
TLE4	562	753	252	387	912	788	810	791
TLK1	237	261	133	142	924	792	698	717
TLK2	175	238	87	121	625	516	545	429
TLL1	3	2	1	2	65	38	50	33
TLL2	15	36	8	15	25	21	18	16
TLN1	4624	5966	2340	3078	5876	5102	4304	4859
TLN2	145	146	76	80	627	551	510	470
TLNRD1	29	38	7	16	100	76	52	44
TLR5	8	8	3	5	17	20	16	19
TM2D1	342	360	154	192	527	487	439	351
TM2D2	220	375	133	185	294	277	297	193
TM2D3	486	606	220	305	671	585	570	421
TM6SF1	10	16	5	8	71	62	74	55
TM7SF2	139	172	63	82	190	159	197	145
TM7SF3	580	675	272	343	851	786	877	628
TM9SF2	3081	3857	1581	2002	3544	3097	3360	2334
TM9SF3	2759	3261	1325	1642	2889	3143	2757	2115
TM9SF4	716	894	386	495	1004	809	766	755
TMA16	450	549	208	286	759	769	835	573
TMA7	156	190	76	111	378	396	318	171
TMBIM1	63	63	25	32	36	26	30	31
TMBIM4	168	251	93	140	183	132	184	119
TMBIM6	9622	12269	4803	6249	2806	2437	2778	1779
TMC3	1	6	1	0	33	23	16	24
TMC4	5	6	2	1	35	21	27	23
TMC5	51	50	18	33	30	33	30	36
TMC6	57	39	14	29	82	72	84	64
TMC7	59	51	38	28	71	53	57	56
TMCC1	55	67	30	26	190	163	135	167
TMCC2	5	7	10	5	65	48	64	60
TMCC3	116	92	43	59	46	39	25	11
TMCO1	2152	2234	978	1311	1377	1406	1281	923
TMCO3	244	298	100	131	502	396	437	277
TMCO4	113	148	56	81	95	82	74	69
TMCO6	104	119	47	46	245	209	214	187
TMED1	154	235	86	134	255	205	229	186
TMED10	1124	1421	490	704	1480	1505	1292	952
TMED2	2845	3741	1524	2033	1938	1817	1939	1466
TMED3	492	650	231	315	751	660	803	523
TMED4	1299	1629	596	859	709	643	646	464
TMED5	739	889	362	462	1121	1214	1055	866
TMED6	0	0	0	0	25	22	19	14
TMED7	164	235	117	122	177	162	203	108
TMED7-TICAM2	162	236	91	158	68	74	108	56
TMED8	248	279	115	145	452	403	335	314
TMED9	1857	2592	998	1318	1309	1389	1141	956
TMEM101	507	637	259	310	201	184	179	114
TMEM102	59	80	30	37	54	65	57	41
TMEM104	260	368	128	179	165	118	142	134
TMEM106B	629	613	315	376	559	501	583	378
TMEM106C	592	686	277	396	1975	1719	2105	1290
TMEM107	59	57	15	15	30	30	32	18
TMEM108	63	74	29	39	49	41	42	35
TMEM109	825	1285	441	617	529	484	556	422
TMEM11	305	343	134	217	262	268	298	215
TMEM110-MUSTN1	4	3	0	3	38	30	39	30
TMEM115	373	568	204	273	666	634	550	472
TMEM116	33	29	20	13	63	53	68	50
TMEM117	102	120	74	50	175	137	156	115
TMEM120A	186	213	83	125	111	100	126	108
TMEM120B	319	358	164	207	249	225	251	186
TMEM121	107	133	59	53	30	39	25	22
TMEM123	1469	1555	686	973	735	553	992	674
TMEM126A	331	326	144	195	385	270	350	233
TMEM126B	527	658	238	340	847	817	816	543
TMEM127	137	239	67	115	73	60	69	57
TMEM128	119	122	60	87	135	147	139	104
TMEM129	153	230	79	104	255	215	250	170
TMEM131	588	646	304	340	1510	1310	1274	1254
TMEM131L	654	733	328	418	923	819	734	671
TMEM132A	180	257	101	135	413	354	357	313
TMEM134	32	49	10	16	54	46	39	31
TMEM135	386	409	185	231	372	294	405	274
TMEM136	99	90	36	63	55	61	71	46
TMEM138	137	163	49	82	186	137	186	162
TMEM140	3	3	0	2	55	37	68	40
TMEM141	319	325	135	184	213	194	187	136
TMEM143	31	53	24	24	56	58	31	60
TMEM144	88	73	40	44	119	97	92	76
TMEM145	13	25	9	14	38	39	24	34
TMEM147	2910	3624	1403	1932	1059	938	1161	733
TMEM14A	207	289	95	126	281	234	256	159
TMEM14B	295	400	160	206	368	279	375	244
TMEM14C	821	1172	424	563	374	358	349	203
TMEM150A	20	35	10	22	50	31	57	41
TMEM150C	91	87	33	62	38	27	29	26
TMEM159	38	35	17	16	32	23	30	20
TMEM160	266	345	108	180	139	128	100	68
TMEM161A	679	1047	328	453	760	650	713	502
TMEM161B	374	448	162	264	494	437	508	390
TMEM164	271	337	119	151	185	151	184	134
TMEM165	740	899	335	439	864	775	846	557
TMEM167A	104	115	74	71	223	211	177	99
TMEM167B	125	144	45	80	103	88	83	60
TMEM168	264	318	132	201	533	510	524	382
TMEM170A	53	62	19	32	68	45	62	61
TMEM170B	42	45	21	37	89	95	56	47
TMEM171	18	16	5	7	16	11	17	10
TMEM175	115	140	48	67	133	121	136	123
TMEM177	300	307	97	175	404	337	377	294
TMEM178B	78	97	29	50	35	35	36	34
TMEM179B	489	608	222	342	404	375	421	312
TMEM18	236	319	150	156	496	431	435	273
TMEM181	399	530	185	261	761	640	713	554
TMEM182	31	25	12	18	33	36	28	27
TMEM183A	23	14	7	8	531	464	499	322
TMEM184B	277	346	147	187	452	316	407	397
TMEM184C	253	295	119	132	551	432	474	368
TMEM185A	124	163	79	75	130	115	106	79
TMEM185B	471	737	277	381	171	134	170	133
TMEM186	89	108	36	54	140	143	103	80
TMEM187	75	74	29	48	27	16	43	16
TMEM189	24	45	18	18	30	37	23	16
TMEM19	386	502	218	264	386	316	421	272
TMEM192	294	313	132	154	383	387	419	284
TMEM198	34	66	17	20	47	34	36	25
TMEM199	262	383	112	182	198	182	148	124
TMEM201	765	1060	351	579	268	224	201	227
TMEM203	150	201	42	82	174	149	126	111
TMEM205	1021	1238	471	640	370	319	369	256
TMEM206	203	264	95	147	518	436	453	357
TMEM208	273	476	144	238	328	333	354	234
TMEM209	1803	1817	804	1131	824	655	797	622
TMEM214	728	914	357	449	543	472	471	458
TMEM216	80	89	32	51	71	78	81	54
TMEM218	34	49	7	29	110	96	115	74
TMEM219	138	209	55	94	308	266	283	198
TMEM222	454	554	218	333	180	168	194	146
TMEM223	171	195	75	106	196	117	169	124
TMEM230	471	620	200	333	255	182	297	145
TMEM231	60	58	22	31	54	45	48	27
TMEM232	2	1	1	0	12	12	19	13
TMEM234	50	86	26	53	92	100	99	83
TMEM237	427	482	220	264	991	863	901	660
TMEM241	59	93	27	44	144	103	139	117
TMEM242	374	420	184	228	209	197	187	118
TMEM243	107	89	42	61	264	235	259	158
TMEM245	486	662	241	331	1118	993	1014	809
TMEM246	185	196	85	111	272	212	213	174
TMEM248	456	495	210	276	541	423	592	411
TMEM25	105	120	40	57	114	94	137	88
TMEM250	56	77	15	39	94	72	91	57
TMEM251	99	150	51	73	89	81	94	63
TMEM254	156	206	72	91	51	42	39	36
TMEM255A	32	33	13	14	17	11	11	13
TMEM256	349	479	183	210	261	194	221	151
TMEM258	926	1020	479	591	531	423	704	339
TMEM259	783	950	396	501	895	784	1017	771
TMEM260	107	126	47	79	232	207	230	150
TMEM262	0	2	0	0	29	13	40	17
TMEM263	294	422	126	215	279	309	306	224
TMEM265	1	1	0	2	60	37	19	48
TMEM266	21	12	11	4	75	78	59	42
TMEM267	62	89	36	55	117	96	131	81
TMEM268	49	71	20	29	122	98	99	97
TMEM30A	1605	1719	734	974	901	801	805	567
TMEM33	1916	2090	967	1148	1141	1004	1056	767
TMEM35B	128	208	64	81	54	51	54	24
TMEM38A	49	76	32	42	35	31	38	24
TMEM38B	748	938	396	486	717	664	747	509
TMEM39A	251	314	130	145	464	332	591	422
TMEM39B	215	297	109	160	387	336	347	313
TMEM41A	167	228	62	108	148	135	145	93
TMEM41B	563	715	303	300	391	334	384	268
TMEM42	27	25	11	10	70	59	64	33
TMEM43	685	876	389	471	861	741	729	586
TMEM44	43	60	21	21	53	50	63	37
TMEM45A	100	125	49	59	113	94	101	76
TMEM47	0	2	0	0	57	48	54	46
TMEM50A	1676	1993	859	1039	563	532	627	342
TMEM50B	187	248	91	98	239	210	215	163
TMEM51	59	102	29	41	31	38	45	27
TMEM53	98	147	41	70	40	25	25	19
TMEM54	107	125	44	77	60	35	78	42
TMEM56	68	76	45	42	64	63	51	42
TMEM59	2273	2796	1097	1439	1524	1308	1355	1019
TMEM60	89	99	38	34	127	120	99	81
TMEM62	138	138	54	58	233	207	237	155
TMEM63A	180	197	92	92	343	280	261	259
TMEM63B	313	349	130	188	328	255	325	260
TMEM63C	85	90	33	37	32	25	39	32
TMEM64	123	176	51	72	194	156	181	114
TMEM65	429	447	174	229	298	258	223	170
TMEM67	233	235	94	105	539	483	500	382
TMEM68	156	149	71	91	188	181	166	143
TMEM69	659	699	284	384	306	261	336	222
TMEM70	1127	1351	535	777	629	604	641	403
TMEM74	26	26	11	10	26	21	41	24
TMEM74B	20	30	11	16	41	46	37	24
TMEM79	23	25	10	8	36	36	29	36
TMEM80	57	57	28	29	76	82	85	60
TMEM81	0	0	0	0	61	77	57	62
TMEM87A	446	551	254	308	785	780	730	522
TMEM87B	164	201	75	107	143	134	133	80
TMEM8A	165	224	76	97	361	331	410	285
TMEM8B	83	77	30	35	89	53	59	72
TMEM9	711	944	361	503	514	491	530	377
TMEM94	281	296	103	168	603	472	456	497
TMEM97	504	593	264	349	345	254	409	271
TMEM98	169	207	53	101	219	219	235	160
TMEM99	52	70	30	45	193	160	166	116
TMEM9B	190	190	81	129	158	111	144	112
TMF1	893	1064	401	511	2100	1930	1929	1506
TMLHE	524	593	238	351	455	370	419	326
TMOD1	119	128	58	81	38	32	22	37
TMOD2	125	147	56	67	138	104	129	116
TMOD3	1423	1495	677	777	520	485	461	377
TMOD4	1	2	0	0	16	10	17	16
TMPO	6358	7297	3172	4030	6094	5591	5540	4075
TMPPE	76	110	33	54	157	109	105	107
TMPRSS9	0	0	0	0	93	76	68	65
TMSB10	1823	2173	873	1172	1218	1160	1179	669
TMTC1	181	184	73	92	295	201	297	201
TMTC2	125	154	66	77	177	136	155	164
TMTC3	1476	1705	672	797	1922	1687	1818	1282
TMTC4	121	137	59	62	384	366	405	293
TMUB1	366	327	127	178	259	248	266	183
TMUB2	207	247	88	114	193	145	200	114
TMX1	1165	1365	527	764	1802	1725	1693	1101
TMX2	266	411	126	204	549	473	614	430
TMX2-CTNND1	14	22	9	26	59	70	50	47
TMX3	524	690	295	357	545	589	528	421
TMX4	295	425	141	213	560	572	573	429
TNC	224	363	152	173	16	16	23	21
TNFAIP1	172	211	73	100	144	160	163	127
TNFAIP3	58	64	25	44	83	65	81	69
TNFAIP8	172	191	71	92	60	55	66	43
TNFRSF10B	734	1045	392	561	644	616	601	507
TNFRSF10D	236	285	131	174	150	145	150	118
TNFRSF11A	142	194	64	94	94	77	75	69
TNFRSF12A	79	109	44	42	27	30	34	15
TNFRSF19	113	147	33	56	34	36	30	34
TNFRSF1A	398	475	149	234	216	199	170	176
TNFRSF21	158	238	78	138	226	240	210	185
TNFRSF6B	5	2	0	2	23	25	39	28
TNIK	579	734	272	430	861	751	848	700
TNIP1	441	639	223	276	682	620	601	503
TNIP2	152	190	61	88	289	289	265	186
TNK2	86	85	33	60	277	201	173	161
TNKS	760	918	402	490	974	861	845	737
TNKS1BP1	315	431	151	199	1016	982	760	773
TNKS2	1739	1818	733	955	2020	1800	1762	1491
TNNI3	21	22	10	13	70	66	67	49
TNNT1	65	75	31	48	145	129	133	79
TNPO1	2969	3223	1441	1844	6096	5501	5940	4239
TNPO2	1648	2305	811	1145	1985	1645	1861	1612
TNPO3	1852	2110	916	1087	2798	2645	2512	1947
TNRC18	502	717	292	381	1552	1306	942	1086
TNRC6A	617	682	293	393	2478	2038	2268	2009
TNRC6B	735	923	348	499	1942	1616	1700	1636
TNRC6C	255	322	127	162	591	505	493	600
TNS2	109	80	53	57	40	25	34	34
TNS3	79	108	47	63	120	91	109	86
TOB1	777	1038	440	505	252	220	239	215
TOB2	269	473	141	186	197	191	161	171
TOE1	531	662	274	371	704	636	652	423
TOGARAM1	157	179	87	87	494	453	448	343
TOLLIP	315	429	153	192	154	139	114	96
TOM1	342	411	155	216	300	274	337	243
TOM1L1	790	915	359	491	908	770	937	608
TOM1L2	276	301	106	185	522	449	375	428
TOMM20	774	1036	399	581	1369	1259	1493	936
TOMM20L	2	3	1	2	17	26	19	20
TOMM22	959	1365	505	675	1813	1652	1553	1073
TOMM34	1425	1659	668	834	974	958	835	679
TOMM40L	162	228	68	112	247	274	274	182
TOMM5	541	798	292	314	499	572	377	251
TOMM6	1634	1714	736	1027	655	607	571	311
TOMM7	1127	1606	635	850	1799	1554	1559	916
TOMM70	2174	2324	1052	1369	3298	3004	2875	2153
TONSL	435	633	252	335	1187	980	975	884
TOP1	4892	6124	2634	3259	3262	2994	2196	2583
TOP1MT	320	399	163	188	600	526	589	427
TOP2A	8352	11195	4774	5820	11637	11048	10710	7870
TOP2B	3522	3880	1609	1944	11874	11652	10205	8166
TOP3A	418	554	215	304	2344	1949	1856	1852
TOP3B	282	407	149	218	920	819	814	745
TOPBP1	1832	1954	799	1049	4300	3916	4031	3175
TOPORS	531	611	310	382	1541	1424	1743	1199
TOR1A	706	929	357	461	561	459	500	358
TOR1AIP1	791	799	317	437	876	800	877	707
TOR1AIP2	768	859	350	487	1874	1554	1632	1428
TOR1B	231	315	116	156	211	197	213	165
TOR2A	103	133	33	89	113	91	101	87
TOR3A	300	375	154	207	768	718	638	551
TOX4	699	827	345	480	746	633	916	702
TP53	1513	1912	747	947	1003	874	937	955
TP53BP1	1936	2344	957	1208	3007	2763	2701	2263
TP53BP2	1167	1355	542	726	2343	2111	2122	1719
TP53I11	129	137	55	71	49	47	50	43
TP53I13	164	247	100	111	188	136	135	94
TP53I3	199	192	80	104	85	87	85	65
TP53INP1	150	208	72	88	70	43	63	62
TP53RK	367	455	179	247	352	371	350	251
TP53TG5	1	1	2	0	34	37	43	39
TP73	304	325	132	159	98	71	92	85
TPBG	413	556	180	278	113	79	113	70
TPCN1	186	206	95	144	182	160	176	177
TPCN2	98	127	45	70	237	244	221	189
TPD52	200	212	93	127	82	96	57	37
TPD52L1	435	423	177	228	126	130	141	116
TPD52L2	1090	1377	550	736	707	640	585	506
TPGS1	138	251	102	118	91	88	58	34
TPGS2	695	848	345	434	802	693	777	616
TPH1	2	0	1	0	45	44	39	31
TPI1	4385	5941	2003	2823	5358	5227	4892	3453
TPM1	617	797	354	429	575	652	575	406
TPM2	14	13	7	5	110	133	96	83
TPM3	1213	1575	580	822	2079	1908	1828	1266
TPM4	806	1061	400	550	378	437	335	247
TPMT	296	287	132	159	512	509	467	327
TPP1	367	500	165	249	432	381	269	399
TPP2	2034	2366	1010	1236	2391	2203	2267	1680
TPPP	41	52	19	28	32	21	20	28
TPR	4998	5585	2555	3004	19979	19166	19322	14567
TPRA1	244	378	132	188	297	215	302	217
TPRG1L	251	388	127	188	75	77	104	92
TPRKB	1030	1078	537	619	620	599	691	413
TPRN	206	359	116	181	266	243	279	241
TPST1	82	95	25	65	240	199	260	175
TPST2	130	174	37	47	177	145	160	137
TPT1	3392	4485	1951	2772	10257	9600	9752	6391
TPX2	3183	3368	1470	1831	4526	4110	3681	3576
TRA2A	1919	2589	1070	1360	1425	1218	1470	1111
TRA2B	4449	5060	2113	2841	3146	2840	3468	2291
TRABD	657	841	268	393	727	631	638	520
TRADD	60	96	30	56	47	48	43	36
TRAF2	437	616	191	325	421	450	336	279
TRAF3	201	203	72	121	645	626	611	496
TRAF3IP1	328	464	171	207	513	484	591	425
TRAF3IP2	171	208	75	115	151	128	120	129
TRAF3IP3	0	0	0	0	26	18	28	29
TRAF4	286	367	135	193	405	356	400	301
TRAF5	204	247	112	123	210	227	170	148
TRAF6	188	228	99	181	319	277	259	258
TRAF7	284	373	137	213	815	644	856	714
TRAFD1	1095	1430	580	761	958	844	1008	760
TRAIP	223	304	123	170	520	518	509	418
TRAK1	108	148	43	74	722	641	621	567
TRAK2	118	99	39	54	654	571	642	519
TRAM1	1418	1658	665	932	1955	1627	2391	1458
TRAM1L1	14	18	6	11	43	40	62	34
TRAM2	210	235	107	148	149	116	115	90
TRAP1	4561	5310	1940	2857	4837	4577	4598	3472
TRAPPC1	1220	1551	583	841	398	342	329	360
TRAPPC10	383	481	205	234	1354	1294	1153	1024
TRAPPC11	654	720	317	397	903	888	807	693
TRAPPC12	384	500	178	261	632	589	587	442
TRAPPC13	462	497	211	262	680	657	673	478
TRAPPC2	73	56	32	35	128	121	129	109
TRAPPC2B	58	57	28	29	23	19	19	15
TRAPPC2L	565	655	256	379	657	658	666	450
TRAPPC3	1086	1459	522	720	629	633	587	449
TRAPPC4	593	757	240	392	596	558	585	402
TRAPPC5	866	904	360	534	341	283	389	242
TRAPPC6A	60	91	34	39	66	68	60	50
TRAPPC6B	155	172	104	109	143	163	172	106
TRAPPC8	866	832	383	464	1630	1489	1586	1220
TRAPPC9	348	421	159	230	351	273	259	302
TRDMT1	212	193	99	111	168	169	176	121
TRERF1	157	166	60	92	34	28	28	35
TREX1	1	2	0	1	39	31	41	30
TREX2	1	1	0	0	148	155	136	94
TRHDE	0	0	2	0	23	13	21	19
TRIAP1	417	540	207	323	131	150	148	91
TRIB1	521	639	261	384	179	128	175	177
TRIB2	211	247	94	121	21	22	29	18
TRIB3	224	244	80	122	180	175	139	107
TRIM11	374	507	199	228	594	575	514	418
TRIM13	462	599	235	301	602	559	616	483
TRIM14	195	268	78	135	96	116	69	65
TRIM16	8	15	2	5	71	82	81	81
TRIM16L	1	6	0	5	78	73	94	59
TRIM17	0	0	0	1	47	37	35	36
TRIM2	397	427	152	193	440	381	433	276
TRIM21	132	177	70	100	98	96	94	67
TRIM23	505	596	248	296	577	593	569	420
TRIM24	1348	1551	678	837	1179	930	1055	929
TRIM25	1399	1848	710	900	453	381	400	361
TRIM26	480	622	258	360	434	473	417	386
TRIM27	1101	1479	551	723	2162	1905	1998	1594
TRIM28	10381	14589	5257	7543	9983	8623	9579	8520
TRIM3	69	92	51	60	123	122	129	118
TRIM32	280	372	129	177	341	311	230	214
TRIM33	1282	1450	605	788	2175	1950	2151	1703
TRIM35	237	358	132	184	213	182	156	103
TRIM36	182	165	70	98	121	113	124	99
TRIM37	565	574	250	294	1972	1861	1801	1410
TRIM38	168	172	52	85	139	116	92	72
TRIM39	23	15	8	13	48	38	47	45
TRIM4	426	574	197	284	477	436	371	341
TRIM41	149	237	85	102	586	672	681	469
TRIM44	466	694	240	356	323	340	335	193
TRIM45	72	84	32	32	185	184	135	122
TRIM5	141	145	63	91	56	67	56	53
TRIM52	55	79	36	41	221	244	222	181
TRIM56	152	223	59	90	35	40	32	32
TRIM59	74	67	29	59	169	164	139	111
TRIM62	59	71	32	36	70	43	37	73
TRIM65	437	528	223	304	506	429	419	371
TRIM66	23	19	11	19	235	200	156	219
TRIM68	89	120	48	59	173	142	151	131
TRIM71	11	16	5	11	114	100	80	85
TRIM8	279	382	128	182	358	345	250	284
TRIM9	306	321	144	166	247	250	215	191
TRIO	766	840	374	441	3041	2598	2628	2351
TRIOBP	303	394	174	223	400	346	296	273
TRIP10	349	422	125	185	366	373	327	266
TRIP11	789	915	417	481	1846	1781	1930	1462
TRIP12	4586	5134	2243	2811	8272	7105	7376	6195
TRIP13	2207	2481	917	1207	1150	1024	1252	897
TRIP4	479	523	264	304	290	251	200	243
TRIP6	1864	2471	905	1157	763	780	711	565
TRIQK	60	59	33	26	44	42	38	28
TRIR	1251	1751	617	886	827	929	718	473
TRIT1	397	440	192	214	565	563	548	416
TRMO	202	228	73	114	363	284	356	297
TRMT1	797	1209	443	701	1479	1373	1467	1130
TRMT10A	238	302	115	167	317	277	331	224
TRMT10B	62	72	17	31	180	183	155	136
TRMT10C	1709	1882	844	1054	2391	2303	2390	1642
TRMT11	556	485	219	267	1544	1579	1232	1017
TRMT112	927	1424	466	728	1067	977	936	525
TRMT12	170	158	81	92	485	432	399	292
TRMT13	507	594	273	333	615	623	524	401
TRMT1L	878	965	391	476	1093	1046	1006	799
TRMT2A	877	1177	441	580	1439	1377	1380	1075
TRMT2B	188	207	91	127	538	486	470	398
TRMT44	160	221	95	108	492	429	396	339
TRMT5	651	636	299	347	833	733	753	552
TRMT6	827	986	410	496	1012	908	926	672
TRMT61A	512	730	258	376	261	203	236	178
TRMT61B	224	258	106	135	432	377	412	296
TRMU	665	916	324	466	952	934	962	693
TRNAU1AP	330	377	153	204	647	570	533	362
TRNT1	295	310	120	136	586	604	457	416
TRO	411	484	201	288	647	565	663	505
TROAP	826	953	401	555	993	827	933	800
TRPC1	109	127	41	58	615	615	542	436
TRPC3	57	56	23	43	80	76	65	46
TRPC4AP	1349	1704	676	908	1912	1768	1813	1509
TRPM4	52	58	16	36	90	91	65	62
TRPM6	20	12	6	9	40	32	30	29
TRPM7	360	334	174	162	2600	2321	2325	1787
TRPS1	349	381	160	193	762	643	696	595
TRPT1	149	172	62	92	152	157	170	100
TRPV1	15	16	3	7	238	198	195	220
TRPV4	24	22	9	12	26	17	21	14
TRRAP	3523	3973	1592	2162	6669	5479	4548	5532
TRUB1	1057	1253	487	601	814	684	767	549
TRUB2	976	1105	444	687	876	797	818	580
TSC1	328	326	146	189	768	707	781	680
TSC2	880	1187	433	622	1907	1672	1700	1693
TSC22D1	493	582	243	312	755	626	606	505
TSC22D2	343	440	152	213	423	363	381	336
TSC22D3	814	935	257	359	668	709	644	390
TSC22D4	149	202	71	106	131	123	114	99
TSEN15	130	176	73	84	268	249	243	190
TSEN2	294	376	151	172	704	633	625	484
TSEN34	755	856	326	464	616	503	627	399
TSEN54	292	360	115	166	549	520	511	406
TSFM	1171	1489	601	789	807	756	737	505
TSG101	1457	1674	683	869	755	624	794	569
TSGA10	16	22	7	6	104	114	96	80
TSHZ1	118	131	61	75	466	393	489	413
TSHZ2	7	13	5	4	63	48	51	56
TSHZ3	180	222	73	92	131	83	82	78
TSKU	44	57	22	37	45	29	41	34
TSN	1272	1558	627	809	1222	1135	1146	804
TSNARE1	57	71	29	33	96	73	85	69
TSNAX	684	849	366	397	898	872	833	608
TSNAXIP1	9	7	3	4	54	51	61	57
TSPAN10	33	43	20	29	23	21	16	15
TSPAN12	234	326	124	135	190	172	186	102
TSPAN13	529	713	262	353	224	211	241	163
TSPAN14	244	301	107	164	68	60	56	65
TSPAN15	139	131	49	48	143	120	132	97
TSPAN17	66	67	28	45	239	232	274	223
TSPAN18	54	66	15	33	28	15	12	19
TSPAN2	21	20	7	11	31	14	16	16
TSPAN3	2827	3478	1383	1777	2652	2249	2666	1735
TSPAN31	330	447	169	203	144	127	150	102
TSPAN33	167	225	91	125	120	101	110	81
TSPAN4	104	125	37	57	157	110	138	89
TSPAN5	91	101	42	53	106	80	93	69
TSPAN6	862	1083	465	581	959	885	944	573
TSPAN9	290	373	135	198	51	53	54	55
TSPEAR	0	0	0	0	21	23	24	37
TSPO	298	362	136	174	361	272	292	219
TSPYL1	3791	5043	2043	2585	2678	2548	2747	1860
TSPYL2	463	589	242	310	497	436	565	429
TSPYL4	502	640	200	283	149	129	98	85
TSR1	3400	3943	1575	2055	4858	4523	4817	3289
TSR2	725	989	355	514	435	430	427	289
TSR3	416	600	177	283	612	596	517	354
TSSC4	228	324	115	209	411	366	397	293
TSSK2	0	1	0	0	55	52	56	47
TSSK3	3	0	1	1	135	110	132	159
TSSK4	0	0	0	0	88	90	53	75
TST	341	519	180	299	430	347	432	294
TSTA3	518	615	250	324	532	438	498	342
TSTD2	247	268	115	132	399	328	258	238
TSTD3	10	15	4	6	31	28	22	24
TTBK2	91	115	41	53	483	458	472	411
TTC1	1389	1696	704	903	1113	1157	1188	771
TTC12	146	191	106	108	540	487	504	390
TTC13	454	617	198	311	1412	1289	1214	957
TTC14	451	505	217	280	889	923	851	706
TTC17	416	540	211	276	1451	1229	1406	1140
TTC19	399	529	210	256	765	745	684	559
TTC21A	19	13	5	8	28	42	32	37
TTC21B	744	718	321	404	1237	1100	1090	914
TTC23	63	59	22	25	310	287	283	225
TTC25	16	15	8	13	57	35	41	23
TTC26	403	522	183	241	477	403	494	355
TTC27	726	827	352	424	1476	1374	1444	1126
TTC28	566	620	267	334	1533	1242	1198	1258
TTC3	444	459	169	244	5274	4813	4407	3992
TTC30A	142	210	73	96	101	62	82	46
TTC30B	120	175	73	89	93	69	90	62
TTC31	94	145	72	66	249	181	201	182
TTC32	197	194	89	102	174	145	182	85
TTC33	360	368	127	176	303	326	220	182
TTC37	2689	2819	1231	1567	5302	4721	5131	3546
TTC38	426	599	219	283	617	553	572	440
TTC39A	323	430	150	215	101	118	122	99
TTC39B	102	133	51	52	114	107	77	55
TTC39C	219	295	110	144	184	148	139	126
TTC4	429	650	241	329	1098	999	1041	689
TTC5	336	381	177	215	605	561	540	391
TTC6	23	25	17	15	44	36	33	35
TTC7A	58	94	24	39	185	181	154	145
TTC7B	395	483	161	247	588	483	440	377
TTC8	492	510	216	285	410	376	416	259
TTC9C	190	239	84	102	223	191	224	162
TTF1	556	651	290	349	925	925	863	704
TTF2	1647	1957	772	1039	3595	3351	3290	2711
TTI1	789	883	346	482	1443	1251	1301	1153
TTI2	424	576	182	304	384	354	383	284
TTK	2481	2711	1251	1562	2615	2432	2575	1696
TTL	222	245	83	126	569	463	567	463
TTLL1	52	50	31	32	68	63	61	43
TTLL11	12	39	10	10	125	123	97	104
TTLL12	1647	2676	830	1231	1452	1334	1415	1096
TTLL13P	0	1	1	0	30	39	34	26
TTLL3	12	10	6	7	176	145	152	161
TTLL4	802	1004	402	562	1360	1181	1188	1164
TTLL5	159	183	85	115	1092	916	911	798
TTLL7	237	222	94	121	268	244	254	199
TTN	66	79	31	31	7414	6187	7276	5815
TTPAL	208	219	106	99	241	205	221	204
TTYH2	41	56	24	36	43	33	35	42
TTYH3	427	555	208	300	263	202	130	199
TUB	180	212	72	85	610	572	517	477
TUBA1A	648	863	322	466	649	599	797	468
TUBA1B	9090	10980	4415	5715	9658	8922	10602	6622
TUBA1C	3012	3660	1462	2107	4290	3760	4407	2780
TUBA4A	46	68	15	25	29	23	25	19
TUBA8	102	72	43	30	66	56	70	72
TUBB	19455	24437	9761	13272	12399	9911	14655	10478
TUBB1	0	3	0	0	39	42	40	34
TUBB2A	392	526	203	247	127	127	152	95
TUBB2B	552	666	296	377	220	228	211	151
TUBB4A	425	556	222	282	75	54	32	86
TUBB4B	8611	13882	5122	7706	5408	4842	6107	4484
TUBB6	1134	1600	573	878	904	755	877	654
TUBD1	284	349	130	160	288	244	278	215
TUBE1	251	223	90	123	490	418	560	388
TUBG1	696	864	322	467	950	861	994	750
TUBG2	28	41	22	27	46	36	33	36
TUBGCP2	1290	1572	572	887	2037	1791	2065	1604
TUBGCP3	550	691	278	333	782	713	684	684
TUBGCP4	955	1039	467	554	930	814	748	674
TUBGCP5	436	429	233	291	1199	1046	1018	819
TUBGCP6	429	523	224	295	2049	1682	1820	1703
TUFM	5164	6491	2420	3353	4750	4264	4667	3311
TUFT1	278	291	123	180	155	157	220	164
TULP3	313	397	144	233	380	326	331	252
TULP4	156	181	72	100	551	462	362	496
TUSC1	78	82	30	54	85	90	49	27
TUSC2	116	194	72	96	208	185	159	106
TUSC3	1034	1246	462	610	824	807	821	580
TUT1	141	170	48	82	170	141	155	99
TUT4	1092	1240	559	630	2616	2427	1948	2125
TUT7	536	558	233	315	1190	1116	1016	806
TVP23B	53	36	20	26	277	266	250	155
TVP23C	5	4	6	1	38	45	26	36
TWF1	467	449	197	279	379	378	418	255
TWF2	362	494	190	244	383	374	327	223
TWIST1	135	172	63	96	34	23	18	17
TWISTNB	580	676	282	341	747	704	738	480
