	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b
ARFIP1	614	591	474	434
ARFIP2	675	811	587	551
ARFRP1	274	343	206	186
ARG1	0	0	0	0
ARG2	730	721	484	517
ARGLU1	587	694	481	470
ARHGAP1	557	729	453	441
ARHGAP10	285	332	278	222
ARHGAP11A	890	915	684	778
ARHGAP12	429	413	318	334
ARHGAP17	1072	1471	821	842
ARHGAP18	257	259	187	195
ARHGAP19-SLIT1	16	30	7	20
ARHGAP20	94	116	52	79
ARHGAP21	276	245	232	207
ARHGAP22	113	153	70	99
ARHGAP24	32	39	38	34
ARHGAP26	209	218	152	158
ARHGAP27	75	117	74	87
ARHGAP28	121	152	110	97
ARHGAP29	334	315	184	219
ARHGAP30	2	2	3	3
ARHGAP31	67	65	74	72
ARHGAP32	162	158	178	157
ARHGAP33	45	106	54	66
ARHGAP35	614	653	480	513
ARHGAP39	178	207	127	126
ARHGAP4	3	4	10	9
ARHGAP42	77	76	65	75
ARHGAP44	92	80	57	68
ARHGAP45	41	45	38	40
ARHGAP5	527	567	377	386
ARHGDIA	3625	4352	2940	3010
ARHGDIG	51	65	43	55
ARHGEF1	660	813	545	580
ARHGEF10	251	326	242	265
ARHGEF10L	55	82	56	37
ARHGEF11	329	380	322	311
ARHGEF12	831	911	737	664
ARHGEF16	118	162	100	103
ARHGEF17	152	148	202	191
ARHGEF18	27	34	13	22
ARHGEF19	13	13	11	14
ARHGEF2	964	1219	711	698
ARHGEF25	33	61	39	30
ARHGEF26	369	478	322	308
ARHGEF28	137	124	110	113
ARHGEF3	212	230	181	199
ARHGEF39	271	372	220	235
ARHGEF4	66	52	80	71
ARHGEF40	146	175	125	124
ARHGEF6	256	251	151	191
ARHGEF7	575	704	464	501
ARHGEF9	31	24	28	19
ARID1A	1816	2526	1624	1629
ARID1B	699	789	643	591
ARID2	1251	1487	1018	1049
ARID3A	150	194	136	119
ARID3B	103	120	60	59
ARID4A	229	261	189	200
ARID4B	799	967	606	624
ARID5A	87	105	47	63
ARID5B	645	794	479	512
ARIH1	914	1190	733	791
ARIH2	642	644	525	518
ARIH2OS	118	149	73	119
ARL1	1276	1343	881	1012
ARL10	119	151	96	69
ARL13B	268	282	192	192
ARL14EP	336	376	279	309
ARL15	232	197	142	172
ARL16	268	397	196	244
ARL2	391	419	293	256
ARL2BP	508	564	396	468
ARL3	904	1049	703	760
ARL4A	32	28	27	28
ARL4C	118	153	91	96
ARL4D	102	110	55	64
ARL5A	23	41	24	32
ARL5B	571	691	496	506
ARL6	159	210	124	163
ARL6IP1	298	428	267	279
ARL6IP4	1027	1443	862	835
ARL6IP5	845	787	596	629
ARL6IP6	283	298	242	211
ARL8A	394	476	332	305
ARL8B	488	654	421	409
ARMC1	585	630	463	488
ARMC10	79	102	78	58
ARMC2	60	66	32	38
ARMC4	245	240	207	191
ARMC5	160	254	152	182
ARMC6	971	1243	802	769
ARMC7	181	252	152	151
ARMC8	419	458	312	351
ARMC9	480	592	383	379
ARMCX2	507	512	394	408
ARMCX3	313	397	245	253
ARMCX4	21	40	27	30
ARMCX5	212	196	173	188
ARMCX6	17	44	12	19
ARMH3	743	787	611	631
ARMH4	148	151	130	107
ARMT1	1770	1879	1360	1525
ARNT	596	737	501	518
ARNT2	82	117	71	67
ARNTL	65	70	44	37
ARNTL2	97	104	88	79
ARPC1A	173	209	120	158
ARPC1B	104	126	83	67
ARPC2	4340	4981	3139	3415
ARPC3	2575	2901	1812	2174
ARPC4-TTLL3	110	135	109	97
ARPC5	856	1187	715	743
ARPC5L	536	676	406	409
ARPIN-AP3S2	14	11	10	15
ARPP19	883	1021	679	719
ARRB1	145	142	114	115
ARRB2	828	988	649	649
ARRDC1	380	452	301	290
ARRDC2	84	80	61	49
ARRDC3	78	87	90	76
ARRDC4	308	330	290	287
ARSA	172	201	182	164
ARSB	127	182	145	131
ARSG	43	39	42	43
ARSK	223	236	191	196
ART5	27	37	22	24
ARV1	624	737	503	547
ARVCF	79	111	74	58
AS3MT	234	240	173	207
ASAH1	947	1052	786	800
ASAP1	517	585	414	431
ASAP2	310	402	242	267
ASAP3	144	157	113	97
ASB1	151	210	112	111
ASB13	145	194	144	125
ASB14	0	0	0	1
ASB16	23	19	14	15
ASB6	939	1141	702	740
ASB7	93	127	72	59
ASB8	443	524	357	363
ASCC1	943	1106	708	785
ASCC2	1058	1352	945	906
ASCC3	2437	2837	2321	2512
ASDURF	98	69	76	73
ASF1A	802	1003	646	697
ASF1B	1090	1526	897	881
ASH1L	1065	1256	979	983
ASH2L	890	1018	843	886
ASIC1	176	179	169	166
ASIC3	10	0	5	2
ASL	104	123	92	82
ASMTL	251	251	202	173
ASNA1	1305	1539	954	973
ASNS	2755	2606	2179	2100
ASNSD1	374	410	325	315
ASPH	1106	1231	968	951
ASPHD2	52	59	36	26
ASPM	2598	2722	2363	2268
ASPN	1	0	0	0
ASPRV1	0	0	1	1
ASPSCR1	235	349	206	185
ASRGL1	360	482	294	262
ASS1	467	482	398	429
ASTE1	203	267	173	186
ASTN2	22	22	20	17
ASXL1	672	891	628	638
ASXL2	329	385	216	251
ASXL3	79	64	66	74
ATAD1	1122	1459	1097	1137
ATAD2	2842	2962	2089	2356
ATAD2B	281	327	222	223
ATAD3A	795	1071	669	723
ATAD3B	526	707	378	375
ATAD5	721	701	545	552
ATAT1	210	254	172	140
ATE1	524	600	452	454
ATF1	422	578	325	383
ATF2	296	321	190	201
ATF3	146	174	122	125
ATF4	314	318	202	239
ATF5	24	33	25	35
ATF6	1370	1499	1160	1150
ATF6B	973	1241	795	789
ATF7IP	2451	2879	1972	2209
ATF7IP2	24	26	13	10
ATG10	42	49	40	41
ATG101	306	374	247	247
ATG12	246	373	239	250
ATG13	402	460	331	301
ATG14	87	110	61	93
ATG16L1	474	587	371	375
ATG16L2	21	17	19	18
ATG2A	386	554	379	374
ATG2B	1152	1219	935	912
ATG3	741	785	556	600
ATG4A	188	201	134	150
ATG4B	1017	1310	939	929
ATG4C	373	358	242	316
ATG4D	207	264	186	129
ATG5	601	622	450	455
ATG7	597	642	495	451
ATG9A	1133	1225	901	876
ATIC	6833	7893	5546	5425
ATL1	160	180	106	123
ATL2	1074	1296	894	964
ATL3	114	130	102	87
ATM	1030	1005	956	888
ATMIN	81	87	57	51
ATN1	831	1041	674	686
ATOX1	1212	1288	957	979
ATP10D	80	87	79	46
ATP11A	268	322	266	254
ATP11B	587	640	484	505
ATP11C	1174	1295	1088	1087
ATP13A1	809	1368	865	875
ATP13A2	666	752	483	503
ATP13A3	1219	1424	1217	1185
ATP1A1	13356	17136	13072	12119
ATP1B1	912	965	855	897
ATP1B3	1846	2164	1486	1661
ATP23	169	155	118	145
ATP2A1	27	30	25	23
ATP2A2	7611	9718	7155	6668
ATP2A3	138	125	109	100
ATP2B1	1806	2327	1820	1711
ATP2B4	156	198	184	150
ATP2C1	1081	1363	1099	1005
ATP5F1A	9792	12539	8676	8345
ATP5F1B	24599	30098	21309	20881
ATP5F1C	5808	6445	4497	4825
ATP5F1D	916	1338	803	756
ATP5F1E	1514	1620	1159	1074
ATP5IF1	2168	2758	1623	1701
ATP5MC1	1364	1665	1056	1095
ATP5MC2	3833	5194	2998	3149
ATP5MC3	5489	6555	3996	4339
ATP5MD	928	1206	670	781
ATP5ME	2091	2378	1443	1538
ATP5MF	2122	2398	1608	1862
ATP5MF-PTCD1	34	38	24	32
ATP5MG	382	518	467	328
ATP5MPL	2192	2721	1858	1931
ATP5PB	2983	3320	2332	2411
ATP5PD	1218	1695	1094	1085
ATP5PF	2489	2719	1765	1978
ATP5PO	1755	1965	1454	1438
ATP6AP1	2907	3452	2567	2529
