	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b
ARHGAP12	429	413	154	101
ARHGAP17	1072	1471	691	428
ARHGAP18	257	259	114	63
ARHGAP19-SLIT1	16	30	14	7
ARHGAP20	94	116	48	40
ARHGAP21	276	245	142	87
ARHGAP22	113	153	57	35
ARHGAP24	32	39	17	17
ARHGAP26	209	218	120	65
ARHGAP27	75	117	68	31
ARHGAP28	121	152	62	43
ARHGAP29	334	315	99	105
ARHGAP30	2	2	2	2
ARHGAP31	67	65	28	33
ARHGAP32	162	158	87	63
ARHGAP33	45	106	33	19
ARHGAP35	614	653	284	211
ARHGAP39	178	207	92	50
ARHGAP4	3	4	4	1
ARHGAP42	77	76	27	24
ARHGAP44	92	80	40	20
ARHGAP45	41	45	20	13
ARHGAP5	527	567	262	175
ARHGDIA	3625	4352	2156	1263
ARHGDIG	51	65	30	22
ARHGEF1	660	813	398	271
ARHGEF10	251	326	133	93
ARHGEF10L	55	82	26	17
ARHGEF11	329	380	135	97
ARHGEF12	831	911	354	229
ARHGEF16	118	162	81	38
ARHGEF17	152	148	100	44
ARHGEF18	27	34	16	13
ARHGEF19	13	13	11	8
ARHGEF2	964	1219	550	369
ARHGEF25	33	61	21	27
ARHGEF26	369	478	231	153
ARHGEF28	137	124	72	42
ARHGEF3	212	230	122	80
ARHGEF39	271	372	179	92
ARHGEF4	66	52	47	20
ARHGEF40	146	175	74	39
ARHGEF6	256	251	62	46
ARHGEF7	575	704	345	215
ARHGEF9	31	24	18	12
ARID1A	1816	2526	1126	700
ARID1B	699	789	361	235
ARID2	1251	1487	680	417
ARID3A	150	194	51	51
ARID3B	103	120	58	20
ARID4A	229	261	143	96
ARID4B	799	967	469	334
ARID5A	87	105	50	19
ARID5B	645	794	414	255
ARIH1	914	1190	513	307
ARIH2	642	644	299	194
ARIH2OS	118	149	128	55
ARL1	1276	1343	683	440
ARL10	119	151	58	48
ARL13B	268	282	140	80
ARL14EP	336	376	228	139
ARL15	232	197	119	76
ARL16	268	397	217	144
ARL2	391	419	139	58
ARL2BP	508	564	256	177
ARL3	904	1049	438	336
ARL4A	32	28	18	17
ARL4C	118	153	56	38
ARL4D	102	110	46	34
ARL5A	23	41	20	11
ARL5B	571	691	304	222
ARL6	159	210	73	63
ARL6IP1	298	428	164	125
ARL6IP4	1027	1443	563	463
ARL6IP5	845	787	406	238
ARL6IP6	283	298	129	75
ARL8A	394	476	225	121
ARL8B	488	654	271	175
ARMC1	585	630	333	186
ARMC10	79	102	45	35
ARMC2	60	66	31	19
ARMC4	245	240	117	69
ARMC5	160	254	165	88
ARMC6	971	1243	680	331
ARMC7	181	252	118	82
ARMC8	419	458	254	176
ARMC9	480	592	249	150
ARMCX2	507	512	258	183
ARMCX3	313	397	205	125
ARMCX4	21	40	38	19
ARMCX5	212	196	112	73
ARMCX6	17	44	20	10
ARMH3	743	787	384	274
ARMH4	148	151	78	35
ARMT1	1770	1879	886	583
ARNT	596	737	314	222
ARNT2	82	117	33	26
ARNTL	65	70	33	26
ARNTL2	97	104	28	17
ARPC1A	173	209	75	41
ARPC1B	104	126	38	31
ARPC2	4340	4981	1859	1310
ARPC3	2575	2901	1572	1012
ARPC4-TTLL3	110	135	43	29
ARPC5	856	1187	507	377
ARPC5L	536	676	280	154
ARPIN-AP3S2	14	11	9	3
ARPP19	883	1021	488	369
ARRB1	145	142	55	50
ARRB2	828	988	435	243
ARRDC1	380	452	204	97
ARRDC2	84	80	35	16
ARRDC3	78	87	41	28
ARRDC4	308	330	150	80
ARSA	172	201	97	46
ARSB	127	182	79	33
ARSG	43	39	18	14
ARSK	223	236	130	65
ART5	27	37	8	9
ARV1	624	737	351	206
ARVCF	79	111	45	24
AS3MT	234	240	83	76
ASAH1	947	1052	442	280
ASAP1	517	585	241	146
ASAP2	310	402	141	90
ASAP3	144	157	67	33
ASB1	151	210	80	37
ASB13	145	194	77	40
ASB14	0	0	0	0
ASB16	23	19	9	13
ASB6	939	1141	598	333
ASB7	93	127	50	26
ASB8	443	524	279	204
ASCC1	943	1106	521	300
ASCC2	1058	1352	493	323
ASCC3	2437	2837	1400	878
ASDURF	98	69	48	27
ASF1A	802	1003	429	285
ASF1B	1090	1526	614	421
ASH1L	1065	1256	660	454
ASH2L	890	1018	523	331
ASIC1	176	179	66	47
ASIC3	10	0	3	2
ASL	104	123	52	33
ASMTL	251	251	112	70
ASNA1	1305	1539	694	436
ASNS	2755	2606	1257	840
ASNSD1	374	410	172	125
ASPH	1106	1231	585	310
ASPHD2	52	59	11	11
ASPM	2598	2722	1625	1161
ASPN	1	0	0	0
ASPRV1	0	0	0	0
ASPSCR1	235	349	162	87
ASRGL1	360	482	192	126
ASS1	467	482	237	127
ASTE1	203	267	110	70
ASTN2	22	22	6	4
ASXL1	672	891	477	262
ASXL2	329	385	248	168
ASXL3	79	64	48	32
ATAD1	1122	1459	790	363
ATAD2	2842	2962	1659	1080
ATAD2B	281	327	123	94
ATAD3A	795	1071	353	234
ATAD3B	526	707	273	143
ATAD5	721	701	393	277
ATAT1	210	254	116	79
ATE1	524	600	276	202
ATF1	422	578	243	151
ATF2	296	321	105	88
ATF3	146	174	97	58
ATF4	314	318	1056	662
ATF5	24	33	90	45
ATF6	1370	1499	704	464
ATF6B	973	1241	515	307
ATF7IP	2451	2879	1629	1008
ATF7IP2	24	26	12	9
ATG10	42	49	26	15
ATG101	306	374	148	94
ATG12	246	373	193	131
ATG13	402	460	235	155
ATG14	87	110	51	46
ATG16L1	474	587	240	171
ATG16L2	21	17	14	13
ATG2A	386	554	282	172
ATG2B	1152	1219	583	418
ATG3	741	785	372	240
ATG4A	188	201	141	90
ATG4B	1017	1310	712	476
ATG4C	373	358	172	92
ATG4D	207	264	97	46
ATG5	601	622	308	193
ATG7	597	642	324	178
ATG9A	1133	1225	567	318
ATIC	6833	7893	3319	2152
ATL1	160	180	89	61
ATL2	1074	1296	599	443
ATL3	114	130	75	35
ATM	1030	1005	553	350
ATMIN	81	87	33	31
ATN1	831	1041	345	213
ATOX1	1212	1288	757	448
ATP10D	80	87	60	24
ATP11A	268	322	137	84
ATP11B	587	640	239	153
ATP11C	1174	1295	584	345
ATP13A1	809	1368	537	272
ATP13A2	666	752	332	208
ATP13A3	1219	1424	450	277
ATP1A1	13356	17136	5593	3291
ATP1B1	912	965	446	271
ATP1B3	1846	2164	824	541
ATP23	169	155	89	48
ATP2A1	27	30	9	4
ATP2A2	7611	9718	3732	2162
ATP2A3	138	125	55	43
ATP2B1	1806	2327	954	548
ATP2B4	156	198	81	50
ATP2C1	1081	1363	451	262
ATP5F1A	9792	12539	5126	3166
ATP5F1B	24599	30098	13313	7976
